city,lat,lng,country,population,id,Len
Nassau,25.0834,-77.35,The Bahamas,227940,10361,6
Niamey,13.5167,2.1167,Niger,915000,10366,6
Noumea,-22.2625,166.4443,New Caledonia,93060,10375,6
Ottawa,45.4167,-75.7,Canada,1145000,10396,6
Prague,50.0833,14.466,Czechia,1162000,10457,6
Riyadh,24.6408,46.7727,Saudi Arabia,4465000,10485,6
Roseau,15.301,-61.387,Dominica,23336,10487,6
Skopje,42,21.4335,Macedonia,494087,10527,6
Tarawa,1.3382,173.0176,Kiribati,28802,10544,6
Tehran,35.6719,51.4243,Iran,7873000,10558,6
Tirana,41.3275,19.8189,Albania,895350,10571,6
Vienna,48.2,16.3666,Austria,2400000,10596,6
Warsaw,52.25,21,Poland,1707000,10605,6
Zagreb,45.8,16,Croatia,722526,10622,6
Abuja,9.0833,7.5333,Nigeria,1576000,10001,5
Accra,5.55,-0.2167,Ghana,2121000,10006,5
Amman,31.95,35.9333,Jordan,1060000,10015,5
Cairo,30.05,31.25,Egypt,11893000,10119,5
Dakar,14.7158,-17.4731,Senegal,2604000,10149,5
Dhaka,23.7231,90.4086,Bangladesh,12797394,10159,5
Hagta,13.4745,144.7504,Guam,1051,10212,5
Hanoi,21.0333,105.85,Vietnam,4378000,10217,5
Kabul,34.5167,69.1833,Afghanistan,3277000,10241,5
Minsk,53.9,27.5666,Belarus,1805000,10330,5
Paris,48.8667,2.3333,France,9904000,10423,5
Praia,14.9167,-23.5167,Cabo Verde,113364,10462,5
Quito,-0.215,-78.5001,Ecuador,1701000,10472,5
Rabat,34.0253,-6.8361,Morocco,1705000,10473,5
Sanaa,15.3547,44.2066,Yemen,2008000,10505,5
Seoul,37.5663,126.9997,South Korea,9796000,10520,5
Sofia,42.6833,23.3167,Bulgaria,1185000,10532,5
Sucre,-19.041,-65.2595,Bolivia,224838,10536,5
Tokyo,35.685,139.7514,Japan,35676000,10576,5
Tunis,36.8028,10.1797,Tunisia,2412500,10584,5
Vaduz,47.1337,9.5167,Liechtenstein,36281,10588,5
Apia,-13.8415,-171.7386,Samoa,61916,10035,4
Baku,40.3953,49.8622,Azerbaijan,2122300,10050,4
Bern,46.9167,7.467,Switzerland,275329,10082,4
Dili,-8.5594,125.5795,Timor-Leste,234331,10163,4
Doha,25.2866,51.533,Qatar,1450000,10171,4
Juba,4.83,31.58,South Sudan,111975,10238,4
Kiev,50.4334,30.5166,Ukraine,2709000,10250,4
Lima,-12.048,-77.0501,Peru,8012000,10276,4
Lome,6.1319,1.2228,Togo,1452000,10286,4
Male,4.1667,73.4999,Maldives,112927,10313,4
Nuuk,64.1983,-51.7327,Greenland,14798,10383,4
Oslo,59.9167,10.75,Norway,835000,10392,4
Riga,56.95,24.1,Latvia,742572,10484,4
Rome,41.896,12.4833,Italy,3339000,10486,4
Suva,-18.133,178.4417,Fiji,175399,10541,4
